time,plosses,line,phase
11048,790.0,6.296309937245346,LINE32,1.0
11049,790.0,0.2831188922852045,LINE46,1.0
11050,790.0,4.0389678347245275e-26,LINE4,3.0
11051,790.0,1.1754943508222875e-38,LINE19,2.0
11052,790.0,-6.146689710742393e-30,LINE45,3.0
11053,790.0,1.2594183439926665,LINE18,1.0
11054,790.0,1.033975765692225e-25,LINE14,1.0
11055,790.0,7.3641998773374775,LINE15,1.0
11056,790.0,0.33841154132732076,LINE13,2.0
11057,790.0,6.343327774313434,LINE14,3.0
11058,790.0,15.456839086009495,LINE3,3.0
11059,790.0,2.0679515313824046e-24,LINE10,2.0
11060,790.0,24.244869775365743,LINE3,1.0
11061,790.0,27.194394213797967,LINE5,1.0
11062,790.0,0.5992543147634612,LINE6,2.0
11063,790.0,-6.030286019718335e-36,LINE27,1.0
11064,790.0,-2.0679515313825104e-25,LINE4,2.0
11065,790.0,8.572112885551608,LINE9,1.0
11066,790.0,0.6054964372622187,LINE31,3.0
11067,790.0,6.203854594150529e-25,LINE33,1.0
11068,790.0,0.2512853448650477,LINE42,3.0
11069,790.0,2.8841261219110694,LINE28,2.0
11070,790.0,3.0239592174903346e-36,LINE16,2.0
11071,790.0,11.141043783848916,LINE11,1.0
11072,790.0,2.0679515313816876e-25,LINE8,2.0
11073,790.0,0.012987486111503415,LINE20,2.0
11074,790.0,0.0,LINE39,3.0
11075,790.0,1.667792287252937,LINE45,1.0
11076,790.0,0.0,LINE17,3.0
11077,790.0,19.15347178427759,LINE3,2.0
11078,790.0,-1.1382575597361364e-41,LINE27,3.0
11079,790.0,29.71948818213084,LINE7,1.0
11080,790.0,0.0,LINE41,1.0
11081,790.0,-1.0253218752056826e-40,LINE19,3.0
11082,790.0,2.938735877055719e-39,LINE39,1.0
11083,790.0,69.02840220382073,LINE2,3.0
11084,790.0,0.3508582449662281,LINE29,2.0
11085,790.0,-2.274746684520403e-24,LINE14,2.0
11086,790.0,0.26625253740811633,LINE40,2.0
11087,790.0,4.1359030627689e-25,LINE33,2.0
11088,790.0,-5.64237288394698e-37,LINE42,2.0
11089,790.0,-5.877471754111438e-39,LINE30,1.0
11090,790.0,0.6891090514528445,LINE38,2.0
11091,790.0,1.0577097966245317,LINE15,3.0
11092,790.0,-4.2280482686141536e-29,LINE45,2.0
11093,790.0,289.41721980847495,LINE2,1.0
11094,790.0,6.0715993756116005,LINE12,2.0
11095,790.0,-4.556986112021544e-41,LINE18,3.0
11096,790.0,0.1486330354266618,LINE13,3.0
11097,790.0,3.1187817388287047,LINE1,2.0
11098,790.0,-6.036163491472446e-36,LINE43,2.0
11099,790.0,10.780772618804722,LINE7,3.0
11100,790.0,1.0809366518996281e-29,LINE44,1.0
11101,790.0,-1.1754943508222875e-38,LINE47,3.0
11102,790.0,0.0,LINE24,1.0
11103,790.0,0.9901238706623332,LINE8,3.0
11104,790.0,-3.006965952724448e-29,LINE44,3.0
11105,790.0,13.970328418087625,LINE5,2.0
11106,790.0,1.0740474312504142,LINE13,1.0
11107,790.0,0.0,LINE34,2.0
11108,790.0,5.238296700851819e-36,LINE31,1.0
11109,790.0,1.1619095344799948,LINE36,1.0
11110,790.0,14.94419725853574,LINE1,1.0
11111,790.0,7.894083318285049e-06,LINE6,3.0
11112,790.0,0.46873996687622244,LINE27,2.0
11113,790.0,0.05807577108417896,LINE34,1.0
11114,790.0,0.0,LINE24,2.0
11115,790.0,0.0,LINE18,2.0
11116,790.0,0.5309090092711204,LINE19,1.0
11117,790.0,-3.467708334925748e-37,LINE43,1.0
11118,790.0,0.0,LINE20,3.0
11119,790.0,0.0,LINE42,1.0
11120,790.0,2.2940306172058555,LINE15,2.0
11121,790.0,0.0,LINE21,3.0
11122,790.0,4.486323222183335e-06,LINE29,1.0
11123,790.0,5.950288493787743,LINE10,1.0
11124,790.0,0.15288091354761668,LINE47,1.0
11125,790.0,5.56536989268632,LINE22,2.0
11126,790.0,2.303459298767337,LINE11,2.0
11127,790.0,-4.70197740328915e-38,LINE35,2.0
11128,790.0,4.502851828871088e-06,LINE37,3.0
11129,790.0,0.0,LINE25,1.0
11130,790.0,1.0586296805540887,LINE26,2.0
11131,790.0,1.4576129950196365e-36,LINE26,1.0
11132,790.0,2.7487758791844956,LINE22,3.0
11133,790.0,-5.877471754111438e-39,LINE20,1.0
11134,790.0,-4.451381926887297e-68,LINE17,2.0
11135,790.0,-1.2089959398207227e-35,LINE31,2.0
11136,790.0,1.1897647531211861,LINE43,3.0
11137,790.0,17.335706924667242,LINE9,2.0
11138,790.0,4.407113647577336e-06,LINE29,3.0
11139,800.0,0.0,LINE47,3.0
11140,800.0,0.0,LINE42,2.0
11141,800.0,0.9717457042076328,LINE34,1.0
11142,800.0,6.106453335976323,LINE36,2.0
11143,800.0,9.404003355157434,LINE9,3.0
11144,800.0,-1.0757038941281574e-29,LINE44,1.0
11145,800.0,4.2382872137923194e-29,LINE45,2.0
11146,800.0,13.950449375345261,LINE5,3.0
11147,800.0,4.591774807899561e-41,LINE39,3.0
11148,800.0,6.071509774242753,LINE37,1.0
11149,800.0,3.76158192263132e-36,LINE43,2.0
11150,800.0,1.1310789156323722,LINE8,3.0
11151,800.0,8.049432121273037,LINE11,2.0
11152,800.0,0.0,LINE18,3.0
11153,800.0,0.30179104405082213,LINE46,1.0
11154,800.0,7.869157640052916e-06,LINE6,3.0
11155,800.0,5.824038462166883,LINE12,2.0
11156,800.0,2.0679515313830394e-25,LINE23,2.0
11157,800.0,4.135903062766314e-25,LINE4,3.0
11158,800.0,0.0,LINE35,3.0
11159,800.0,2.0679515313809235e-25,LINE10,3.0
11160,800.0,-3.0092655381050554e-36,LINE17,2.0
11161,800.0,0.5305211389955815,LINE19,1.0
11162,800.0,-3.308722450212381e-24,LINE10,2.0
11163,800.0,-2.261821987449685e-26,LINE23,3.0
11164,800.0,49.653853966781455,LINE7,1.0
11165,800.0,39.529953532031456,LINE3,1.0
11166,800.0,-3.72231275648886e-24,LINE14,1.0
11167,800.0,1.2109186034257078,LINE18,1.0
11168,800.0,1.4928778255443051e-36,LINE43,1.0
11169,800.0,3.489086501140544e-29,LINE45,3.0
11170,800.0,2.2098193655058727,LINE13,1.0
11171,800.0,24.047855744337635,LINE11,1.0
11172,800.0,-3.009265538105056e-36,LINE34,2.0
11173,800.0,0.8695467807253181,LINE13,2.0
11174,800.0,-4.701984436894531e-38,LINE26,3.0
11175,800.0,5.833456262320261,LINE10,1.0
