time,load,Pd,Qd
349,160.0,LOAD23,249.0,252.8124
350,160.0,LOAD20,365.0,455.3984
351,160.0,LOAD5,30.0,-4.4667
352,160.0,LOAD16,203.0,226.1171
353,160.0,LOAD7,23.0,-1.528
354,160.0,LOAD4,22.0,-2.2799
355,160.0,LOAD13,43.0,-2.4224
356,160.0,LOAD11,41.0,-1.4936
357,160.0,LOAD15,56.0,-1.6018
358,160.0,LOAD17,226.0,225.7927
359,160.0,LOAD14,150.0,144.9211
360,160.0,LOAD6,24.0,-1.6361
361,160.0,LOAD1,226.0,225.7927
362,160.0,LOAD2,53.0,-0.46184
363,160.0,LOAD10,125.0,-2.5649
364,160.0,LOAD3,23.0,-4.0505
365,160.0,LOAD12,143.0,147.4148
366,160.0,LOAD21,175.0,201.8736
367,160.0,LOAD18,198.0,164.4789
368,170.0,LOAD14,150.0,144.9211
369,170.0,LOAD2,283.0,290.6001
370,170.0,LOAD7,23.0,-1.528
371,170.0,LOAD12,143.0,147.4148
372,170.0,LOAD20,195.0,240.2656
373,170.0,LOAD23,249.0,252.8124
374,170.0,LOAD17,226.0,225.7927
375,170.0,LOAD10,125.0,-2.5649
376,170.0,LOAD22,24.0,-1.528
377,170.0,LOAD11,41.0,-1.4936
378,170.0,LOAD18,198.0,164.4789
379,170.0,LOAD21,175.0,201.8736
380,170.0,LOAD8,201.0,174.8883
381,170.0,LOAD13,43.0,-2.4224
382,170.0,LOAD4,22.0,-2.2799
383,170.0,LOAD6,204.0,226.1515
384,170.0,LOAD15,56.0,-1.6018
385,170.0,LOAD1,226.0,225.7927
386,170.0,LOAD5,30.0,-4.4667
387,170.0,LOAD19,61.0,-0.46184
388,170.0,LOAD3,193.0,211.0823
389,170.0,LOAD16,203.0,226.1171
390,170.0,LOAD9,248.0,225.9009
391,180.0,LOAD1,226.0,225.7927
392,180.0,LOAD2,283.0,290.6001
393,180.0,LOAD3,193.0,211.0823
394,180.0,LOAD6,204.0,226.1515
395,180.0,LOAD10,125.0,-2.5649
396,180.0,LOAD12,143.0,147.4148
397,180.0,LOAD9,248.0,225.9009
398,180.0,LOAD13,43.0,-2.4224
399,180.0,LOAD17,226.0,225.7927
400,180.0,LOAD4,22.0,-2.2799
401,180.0,LOAD16,183.0,200.8074
402,180.0,LOAD7,23.0,-1.528
403,180.0,LOAD5,30.0,-4.4667
404,180.0,LOAD20,195.0,240.2656
405,180.0,LOAD22,24.0,-1.528
406,180.0,LOAD19,61.0,-0.46184
407,180.0,LOAD23,249.0,252.8124
408,180.0,LOAD11,41.0,-1.4936
409,180.0,LOAD18,198.0,164.4789
410,180.0,LOAD21,15.0,-0.60433
411,180.0,LOAD15,56.0,-1.6018
412,180.0,LOAD14,150.0,144.9211
413,180.0,LOAD8,201.0,174.8883
414,190.0,LOAD8,201.0,174.8883
415,190.0,LOAD1,226.0,225.7927
416,190.0,LOAD4,22.0,-2.2799
417,190.0,LOAD15,56.0,-1.6018
418,190.0,LOAD2,283.0,290.6001
419,190.0,LOAD6,24.0,-1.6361
420,190.0,LOAD7,23.0,-1.528
421,190.0,LOAD3,23.0,-4.0505
422,190.0,LOAD14,150.0,144.9211
423,190.0,LOAD10,125.0,-2.5649
424,190.0,LOAD16,183.0,200.8074
425,190.0,LOAD20,5.0,-0.17685
426,190.0,LOAD17,226.0,225.7927
427,190.0,LOAD18,68.0,-0.034361
428,190.0,LOAD23,49.0,-0.28498
429,190.0,LOAD22,24.0,-1.528
430,190.0,LOAD21,15.0,-0.60433
431,190.0,LOAD13,43.0,-2.4224
432,190.0,LOAD12,143.0,147.4148
433,190.0,LOAD11,41.0,-1.4936
434,190.0,LOAD5,230.0,248.6307
435,190.0,LOAD19,61.0,-0.46184
436,190.0,LOAD9,248.0,225.9009
437,200.0,LOAD14,150.0,144.9211
438,200.0,LOAD15,56.0,-1.6018
439,200.0,LOAD6,24.0,-1.6361
440,200.0,LOAD18,68.0,-0.034361
441,200.0,LOAD11,41.0,-1.4936
442,200.0,LOAD17,226.0,225.7927
443,200.0,LOAD8,61.0,-2.2799
444,200.0,LOAD13,203.0,200.0555
445,200.0,LOAD1,226.0,225.7927
446,200.0,LOAD4,212.0,238.1626
447,200.0,LOAD21,15.0,-0.60433
448,200.0,LOAD9,68.0,-1.8868
449,200.0,LOAD5,230.0,248.6307
450,200.0,LOAD22,124.0,125.0207
451,200.0,LOAD23,49.0,-0.28498
452,200.0,LOAD2,283.0,290.6001
453,200.0,LOAD3,23.0,-4.0505
454,200.0,LOAD12,23.0,-4.4436
455,200.0,LOAD7,23.0,-1.528
456,200.0,LOAD19,61.0,-0.46184
457,200.0,LOAD10,125.0,-2.5649
458,200.0,LOAD16,183.0,200.8074
459,200.0,LOAD20,5.0,-0.17685
460,210.0,LOAD17,46.0,-1.9949
461,210.0,LOAD18,68.0,-0.034361
462,210.0,LOAD9,68.0,-1.8868
463,210.0,LOAD19,61.0,-0.46184
464,210.0,LOAD20,5.0,-0.17685
465,210.0,LOAD14,30.0,-6.9373
466,210.0,LOAD7,23.0,-1.528
467,210.0,LOAD4,212.0,238.1626
468,210.0,LOAD16,23.0,-1.6705
469,210.0,LOAD8,61.0,-2.2799
470,210.0,LOAD23,49.0,-0.28498
471,210.0,LOAD5,30.0,-4.4667
472,210.0,LOAD21,15.0,-0.60433
473,210.0,LOAD13,203.0,200.0555
474,210.0,LOAD1,46.0,-1.9949
475,210.0,LOAD3,23.0,-4.0505
476,210.0,LOAD12,23.0,-4.4436
477,210.0,LOAD15,56.0,-1.6018
478,210.0,LOAD6,24.0,-1.6361
479,210.0,LOAD11,41.0,-1.4936
480,210.0,LOAD2,283.0,290.6001
481,210.0,LOAD10,125.0,-2.5649
482,210.0,LOAD22,124.0,125.0207
483,220.0,LOAD9,68.0,-1.8868
484,220.0,LOAD2,283.0,290.6001
485,220.0,LOAD15,56.0,-1.6018
486,220.0,LOAD20,5.0,-0.17685
